employee_number,age,tenure,turnover,hourly_rate,hours_weekly,compensation_type,annual_salary,driving_commuter_distance,job_role_area,gender,marital_status,num_companies_previously_worked,annual_professonal_dev_hrs,pay_check_method,text_message_optin,commute_distance_category
1,28,6,Yes,24.37,40,Salary,50689.6,89.0,Research,Female,Married,3,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
2,33,2,Yes,24.37,40,Salary,50689.6,89.0,Research,Female,Married,6,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
3,22,1,No,22.52,40,Salary,46841.6,35.0,Information Technology,Female,Single,1,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
4,23,1,No,22.52,40,Salary,46841.6,35.0,Information Technology,Female,Single,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5,40,6,No,88.77,40,Salary,284641.6,12.0,Sales,Female,Single,7,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
6,45,16,Yes,88.77,40,Salary,284641.6,12.0,Sales,Female,Single,4,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
7,34,6,No,28.43,40,Salary,59134.4,0.1,Human Resources,Male,Single,2,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
8,37,9,Yes,28.43,40,Salary,59134.4,0.1,Human Resources,Male,Single,1,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
9,23,1,No,21.87,40,Salary,45489.6,76.0,Human Resources,Female,Single,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
10,24,1,Yes,21.87,40,Salary,45489.6,76.0,Human Resources,Female,Single,2,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
11,30,3,Yes,29.54,40,Salary,61443.2,15.0,Laboratory,Female,Divorced,3,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
12,34,8,Yes,29.54,40,Salary,61443.2,15.0,Laboratory,Female,Divorced,1,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
13,38,4,Yes,85.24,40,Salary,177299.2,2.0,Research,Male,Single,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
14,47,16,Yes,85.24,40,Salary,177299.2,2.0,Research,Male,Single,5,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
15,30,2,Yes,30.42,40,Salary,63273.6,36.0,Information Technology,Female,Married,2,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
16,38,1,No,30.42,40,Salary,63273.6,36.0,Information Technology,Female,Married,3,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
17,55,20,Yes,88.5,40,Salary,284080.0,60.0,Information Technology,Female,Married,7,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
18,59,16,Yes,88.5,40,Salary,284080.0,60.0,Information Technology,Female,Married,5,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
19,29,1,Yes,24.3,40,Salary,50544.0,2.0,Sales,Female,Married,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
